Host Listings Count;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Calculated host listings count;Host Since in Days;Entire home/apt;Private room
5.0;5.0;4;1.0;1.0;2.0;125.0;;;;;1;0;326;98.0;10.0;10.0;10.0;4;1538;1;0
1.0;1.0;4;1.0;1.0;1.0;63.0;360.0;1450.0;100.0;25.0;2;15;276;92.0;9.0;9.0;10.0;1;1913;1;0
2.0;2.0;4;1.0;1.0;2.0;58.0;;;150.0;20.0;2;15;150;90.0;9.0;10.0;10.0;1;1218;1;0
1.0;1.0;1;1.0;1.0;1.0;20.0;;;;;1;0;0;80.0;9.0;9.0;8.0;1;599;0;0
9.0;9.0;6;2.0;4.0;5.0;90.0;;;;25.0;4;12;109;92.0;9.0;10.0;10.0;8;1552;1;0
9.0;9.0;6;1.0;1.0;1.0;20.0;140.0;480.0;;12.0;1;15;341;79.0;8.0;7.0;9.0;9;2098;0;1
1.0;1.0;4;1.0;2.0;2.0;68.0;;;200.0;20.0;3;20;196;94.0;9.0;10.0;10.0;1;502;1;0
1.0;1.0;1;1.0;1.0;1.0;35.0;;;;;1;0;363;98.0;10.0;10.0;10.0;1;1272;0;1
1.0;1.0;4;1.0;1.0;2.0;65.0;;;;;2;10;133;95.0;10.0;10.0;10.0;1;690;1;0
5.0;5.0;3;1.0;2.0;2.0;85.0;;;150.0;20.0;1;0;284;97.0;10.0;10.0;10.0;5;86;1;0
5.0;5.0;4;1.5;1.0;1.0;39.0;240.0;;;5.0;2;7;326;90.0;9.0;9.0;10.0;5;1615;0;1
1.0;1.0;2;2.0;1.0;1.0;35.0;;;;;1;0;342;91.0;9.0;9.0;9.0;1;493;0;1
1.0;1.0;4;2.0;3.0;3.0;88.0;;;250.0;40.0;1;0;91;100.0;10.0;10.0;10.0;1;19;1;0
5.0;5.0;5;1.0;2.0;3.0;55.0;450.0;1450.0;;20.0;4;8;337;;;;;4;1332;1;0
2.0;2.0;2;1.0;1.0;1.0;18.0;;;;;3;12;242;91.0;9.0;9.0;10.0;2;386;0;1
7.0;7.0;3;2.0;1.0;2.0;20.0;;;;10.0;2;10;23;87.0;8.0;9.0;10.0;7;992;0;1
1.0;1.0;4;1.0;2.0;2.0;90.0;700.0;;;30.0;2;35;0;91.0;9.0;8.0;9.0;1;1070;1;0
2.0;2.0;2;1.5;1.0;1.0;40.0;;;;15.0;1;9;134;;;;;2;1077;0;1
1.0;1.0;2;1.0;1.0;1.0;78.0;;;;50.0;1;0;280;91.0;9.0;9.0;9.0;1;1047;1;0
1.0;1.0;1;1.0;1.0;1.0;35.0;;;250.0;30.0;1;0;281;100.0;10.0;10.0;;1;199;0;1
38.0;38.0;2;5.0;1.0;1.0;33.0;;;200.0;;1;0;10;;;;;38;732;0;1
8.0;8.0;5;1.0;1.0;3.0;59.0;;;295.0;23.0;2;19;142;93.0;9.0;9.0;9.0;8;524;1;0
5.0;5.0;3;1.0;1.0;1.0;30.0;;;;;2;14;5;100.0;10.0;9.0;10.0;3;493;0;1
26.0;26.0;1;3.0;1.0;1.0;31.0;;;200.0;30.0;1;0;310;;;;;26;44;0;1
2.0;2.0;2;1.0;0.0;2.0;43.0;300.0;1100.0;500.0;10.0;1;0;264;84.0;8.0;8.0;10.0;2;452;0;1
2.0;2.0;3;1.0;1.0;2.0;51.0;;;99.0;10.0;1;0;72;88.0;9.0;9.0;9.0;2;2356;0;1
1.0;1.0;6;3.0;3.0;4.0;99.0;;;;30.0;6;20;8;93.0;9.0;9.0;10.0;1;96;1;0
1.0;1.0;1;1.0;1.0;1.0;12.0;;;;;1;0;0;;;;;1;348;0;1
1.0;1.0;2;2.0;1.0;1.0;50.0;;;100.0;;1;0;317;100.0;10.0;10.0;9.0;1;151;0;1
3.0;3.0;1;1.0;1.0;1.0;17.0;;;;;1;0;104;95.0;10.0;10.0;10.0;3;668;0;1
1.0;1.0;2;;1.0;;74.0;;;;;1;0;365;;;;;1;1529;0;1
6.0;6.0;3;1.0;1.0;2.0;62.0;;;;;1;0;239;100.0;10.0;10.0;10.0;5;635;1;0
6.0;6.0;2;1.0;1.0;1.0;39.0;;;100.0;30.0;1;0;143;;;;;2;727;0;1
1.0;1.0;3;1.0;1.0;2.0;80.0;;;;20.0;1;0;357;;;;;1;350;1;0
3.0;3.0;2;2.0;1.0;1.0;25.0;;;150.0;10.0;2;0;336;91.0;10.0;10.0;10.0;3;715;0;1
39.0;39.0;4;2.0;2.0;3.0;100.0;;;100.0;30.0;5;30;9;100.0;10.0;10.0;10.0;18;1156;1;0
1.0;1.0;2;1.0;1.0;1.0;16.0;;;;;1;8;76;85.0;9.0;10.0;9.0;1;1151;0;1
3.0;3.0;6;1.0;1.0;1.0;75.0;;;250.0;15.0;2;10;350;;;;;2;135;1;0
1.0;1.0;2;2.5;1.0;1.0;30.0;;;;;1;0;10;70.0;7.0;8.0;10.0;1;1939;0;1
10.0;10.0;4;1.0;1.0;3.0;76.0;500.0;1700.0;100.0;40.0;2;9;301;88.0;9.0;9.0;10.0;10;1631;1;0
1.0;1.0;2;1.0;1.0;1.0;57.0;333.0;1176.0;;12.0;2;0;135;97.0;10.0;10.0;10.0;1;383;1;0
3.0;3.0;6;1.0;2.0;3.0;59.0;;;;20.0;2;10;235;82.0;9.0;8.0;8.0;3;673;1;0
